Id,name,p1,p2,p3,c1,c2,c3,e1,e2,e3,p4,C4,seed,pool,rtype,round,rival,bye,IMG
18927461,Karmine Corp,Vatira,Atow.,dralii,France,Belgium,,Vatira. .,Atoww.,dralii897,,,1,1,Swiss Stage,Round 4,Geekay Esports,FALSE,https://images.start.gg/images/team/2495597/image-632800dfa8f18dd80112fe17198b7378.png?ehk=v00HgAO%2B20wJzAV%2BBjPXCgU0E%2FQz9DJlGZ7nY7O7TrA%3D&ehkOptimized=zJKJj58bj5JNnVNWMGg8nnjSnthgGpQ1yuq1jJwKXzA%3D
18737594,Gentle Mates Alpine,seikoo,juicy,Radosin,France,France,France,SSeiko_B,0 iq juicy,radosin75,,,1,1,Swiss Stage,Round 2,Synergy,FALSE,
18871230,RRG,Gawfs,Rizex45,rysfox.,,Germany,Belgium,Gawfs,Rizex45,rysfox,,,2,1,Swiss Stage,Round 2,Caliente,FALSE,
18672718,Team Vitality,ExoTiiK,M0nkey M00n,zen,France,,France,ExoTiiK66,M0nkey_M00n_,zenrll,,,2,1,Swiss Stage,Round 3,Karmine Corp,FALSE,https://images.start.gg/images/team/2493598/image-2f58c1cab1db417b26aae7d683efd861.jpg?ehk=9pOlg0lPI6IZ12a%2FC7pse%2BaVpKCztRD30y1sTBvYfic%3D&ehkOptimized=NYY%2F%2FB1UiZH6olBINM925oYysXVmQ9V81oq7HYZ26a8%3D
19156316,Save the game,Extra,AztraL,mtzR.,France,Belgium,France,ExtraRL,AztraL_,mtzR.,,,3,B3,Loser Bracket,Losers Round 5,Seleçao,TRUE,
18767084,Ninjas In Pyjamas,Oski,itachi,nass,United Kingdom,France,Belgium,Oski ツ,Itachi_rl1,i miss mikasa,,,3,1,Swiss Stage,Round 2,Team Vitality,FALSE,https://images.start.gg/images/team/2509603/image-d25f250fc2499ef07ca877675f8d511e.jpg?ehk=GowqDKvowxAxPYS%2FtmU1uoI26ISo%2FJokCi8pW3%2FaVk8%3D&ehkOptimized=wxLgugpjE5wQY1HkKLC5kteRgMRoborZCa8PBqnvabw%3D
19124281,Caliente,Kaydop,saizen,Growlii,France,France,United Kingdom,Kaydop,saizenrl,Growlii,,,4,1,Swiss Stage,Round 3,Startpoint,FALSE,
18767227,Dignitas,ApparentlyJack,Joreuz,stizzy,United States,Netherlands,Spain,ApparentlyJack,JoreuzFN,Stizzyyrl,,,4,1,Swiss Stage,Round 3,Geekay Esports,FALSE,
19036156,100%,LuiisP,rehzzy,Accro,Spain,United Kingdom,United Kingdom,LuiisP_03,rehzmeister,AccroRL,,,5,1,Swiss Stage,Round 1,Geekay Esports,FALSE,
18656161,Team JJROX,Stake,MaRc_By_8.,Rxii,Spain,Spain,Spain,StakeMBP,MaRc_By_8,Not Rxii,,,5,1,Swiss Stage,Round 3,100%,FALSE,
19130781,Startpoint,yujin,Mittaen,AcroniK.,France,Netherlands,Portugal,yujinµ,Mittaen,AcroniK. ツ,,,6,1,Swiss Stage,Round 1,Team Vitality,FALSE,https://images.start.gg/images/team/2485862/image-637c55f74b49c99032d98b0af8f14f2d.png?ehk=%2F3mbCBDaQoqVzauhARZnIfSl5AhjLnx4yY%2Ft5Nz%2F0Ng%3D&ehkOptimized=8ASjDKrBQ6ndEcmim0UbmKTK%2Be%2FrJHxLnHH8EyMbnOk%3D
18689627,Synergy,TehQoz,DORITO,ajg,Spain,Spain,Spain,xtehqozzz,WDM Dorito,ajg_rl,,,6,1,Swiss Stage,Round 3,Team Vitality,FALSE,
19146043,Ascend,Mat.,GiuK,Nico,France,France,Denmark,Mat.VIII,GiuK_RL,NicoRL-_-,,,7,1,Swiss Stage,Round 3,Geekay Esports,FALSE,
18881356,Redemption,Kash,Toxiic,Smokez,United Kingdom,,United Kingdom,itsKashh.,oo ToxiicGuy oo,SmokezRL,,,7,1,Swiss Stage,Round 2,Geekay Esports,FALSE,
19090818,Geekay Esports,Archie,Joyo,Oaly,United Kingdom,United Kingdom,Netherlands,oxgArchie,Joyokami,oalymeister,,,8,1,Swiss Stage,Round 4,Karmine Corp,FALSE,
19065800,NOMSTER,Shark.,jelly.,Rebmob_RL,Ireland,Italy,United Kingdom,Shark. RL.,jellyrll,Rebmob_.,,,8,B1,Loser Bracket,Losers Round 5,Nebulous Esports,TRUE,https://images.start.gg/images/team/2531719/image-96cc599081b593603d5ea1a01aeaa738.jpg?ehk=JYhflGdakLBDjlVoraTitL78zqPq9tyOR8%2F3qLaFdIc%3D&ehkOptimized=8QoHJJ3E68ZNiJt6RyQIxyFx2Dqv9YN7cjWyx2yjEFY%3D
19040929,F4WD,ejby,Mikeboy,Compact,Denmark,Netherlands,Belgium,ejbyRL,Mikeboy_RL,CompxctRL,,,9,1,Swiss Stage,Round 2,100%,FALSE,https://images.start.gg/images/team/2498555/image-3322cf9c9d3a343de4671b6dd7537578.png?ehk=NBAeq3i%2FTnkvJJMpOsI5eHlFgJC9Vr3uVsr4zlbH1v4%3D&ehkOptimized=%2F903%2F2pfjD6QKcYnUx62YHudsDJ8OdQfOuwVKA4DHCU%3D
19042821,NOVO Esports,Hyderr,Dead-Monster,Mala,Italy,Italy,Italy,Hyderr1.0,Dead-Monster,U snistr,,,10,1,Swiss Stage,Round 5,Synergy,FALSE,https://images.start.gg/images/team/2509780/image-dd0c2eec3c19c4253bbb1a043ed09db9.png?ehk=SNx1RGDuMdKCiL25IkRnR2oZzySmI3FBI5G4QZbDEgE%3D&ehkOptimized=R3Wlw1uXrp%2F7W1rG5CXHOuHyw4%2BI5C%2BV4Qrw0wqppMk%3D
19138104,Seleçao,Ever.,MayKo,Rust ez95,France,France,France,Ever. .,MayKoJackson,moussechocolat9,,,11,2,Swiss Stage,Round 4,EyeOfRah,FALSE,
18778963,WYLDE,TempoH,ivn,Noahsaki,,Austria,United Kingdom,TempoH_,ivn btw.,Noahsaki_,,,12,1,Swiss Stage,Round 5,Caliente,FALSE,
19085117,Arrogant,Davoof,Gramma,Mozzarella,Italy,Italy,France,Davoof10,Grammaa,MôzzaRella,,,13,2,Swiss Stage,Round 4,Atom Unity,FALSE,
